Identifiant de document|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
|||||||000001|04/09/2024|Vente|295000,00|20||RUE|0570|CAMPESTRA|6400|CANNES|06|29||BI|298||65|50,51|||||||||1|2|Appartement||53|2|||
|||||||000001|23/09/2024|Vente|142000,00|9||BD|0600|CARNOT|6400|CANNES|06|29||BL|79||3||||||||||1|3|Dépendance||0|0|||
|||||||000001|23/09/2024|Vente|142000,00|9||BD|0600|CARNOT|6400|CANNES|06|29||BL|79||25|26,42|||||||||1|2|Appartement||42|1|||
|||||||000001|27/08/2024|Vente|220000,00|64||BD|3000|DU PERIER|6400|CANNES|06|29||AY|496||7||||||||||1|3|Dépendance||0|0|||
|||||||000001|27/08/2024|Vente|220000,00|64||BD|3000|DU PERIER|6400|CANNES|06|29||AY|496||40|69,01|||||||||1|2|Appartement||75|3|||
|||||||000001|16/09/2024|Vente|593750,00|19||RUE|2910|DE PARIS|6400|CANNES|06|29||BH|7||||||||||||0|1|Maison||77|5|S||211
|||||||000001|19/09/2024|Vente|590000,00|10||AV|3310|DE LA REINE ASTRID|6400|CANNES|06|29||BZ|173||130|76,62|55||||||||2|3|Dépendance||0|0|||
|||||||000001|19/09/2024|Vente|590000,00|10||AV|3310|DE LA REINE ASTRID|6400|CANNES|06|29||BZ|173||130|76,62|55||||||||2|2|Appartement||75|3|||
|||||||000001|03/09/2024|Vente|463985,00|2||AV|3650|SAINT NICOLAS|6400|CANNES|06|29||CR|174||161||255|63,79|||||||2|3|Dépendance||0|0|||
|||||||000001|03/09/2024|Vente|463985,00|2||AV|3650|SAINT NICOLAS|6400|CANNES|06|29||CR|174||61||||||||||1|3|Dépendance||0|0|||
